"Denominazione";"Codice";"Stato";"Anno costruzione";"Tipo";"Minerale";"Operatore";"Numero pozzi allacciati";"Pozzi Produttivi non eroganti";"Pozzi in produzione";"Pozzi in monitoraggio";"Titolo minerario";"Collegata alla Centrale";"Zona";"Foglio";"Sezione UNMIG";"Capitaneria di porto";"Distanza costa (KM)";"Altezza SLM (m)";"Profondità fondale (m)";"Dimensioni";"Longitudine (WGS 84) ";"Latitudine (WGS84) ";
"JOLE 1";"240";"Di Produzione non Erogante";"1999|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/ganno.asp?anno=1999";"monotubolare|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtipo.asp?tipo=monotubolare";"GAS";"ADRIATICA IDROCARBURI|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/goperatore.asp?operatore=ADRIATICA%20IDROCARBURI";1;1;;;"B.C 21.AG|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtitolo.asp?titolo=B.C%2021.AG";"GROTTAMMARE|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcentrale.asp?centrale=GROTTAMMARE";"ZB|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gzona.asp?zona=ZB";"922/M";"Roma|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gsezione.asp?sezione=RM&sez=Roma";"Pesaro|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcapitaneria.asp?capitaneria=Pesaro";7;19;17;"8 x 8 m";"13.926435";"43.040959";
"LUNA 27";"241";"Di Produzione non Erogante";"1987|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/ganno.asp?anno=1987";"testa pozzo sottomarina|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtipo.asp?tipo=testa%20pozzo%20sottomarina";"GAS";"IONICA GAS|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/goperatore.asp?operatore=IONICA%20GAS";1;1;;;"F.C 1.AG|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtitolo.asp?titolo=F.C%20%201.AG";"CROTONE|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcentrale.asp?centrale=CROTONE";"ZF|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gzona.asp?zona=ZF";"919/M";"Napoli|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gsezione.asp?sezione=NA&sez=Napoli";"Crotone|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcapitaneria.asp?capitaneria=Crotone";5;;180;"";"17.214463";"39.093105";
"LUNA 40 SAF";"242";"Di Produzione non Erogante";"1995|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/ganno.asp?anno=1995";"testa pozzo sottomarina|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtipo.asp?tipo=testa%20pozzo%20sottomarina";"GAS";"IONICA GAS|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/goperatore.asp?operatore=IONICA%20GAS";1;1;;;"D.C 1.AG|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtitolo.asp?titolo=D.C%20%201.AG";"CROTONE|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcentrale.asp?centrale=CROTONE";"ZD|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gzona.asp?zona=ZD";"919/M";"Napoli|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gsezione.asp?sezione=NA&sez=Napoli";"Crotone|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcapitaneria.asp?capitaneria=Crotone";7;;179;"";"17.198391";"39.092676";
"LUNA A";"243";"Di Produzione eroganti";"1976|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/ganno.asp?anno=1976";"struttura reticolare 8 gambe|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtipo.asp?tipo=struttura%20reticolare%208%20gambe";"GAS";"IONICA GAS|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/goperatore.asp?operatore=IONICA%20GAS";12;1;11;;"D.C 1.AG|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtitolo.asp?titolo=D.C%20%201.AG";"CROTONE|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcentrale.asp?centrale=CROTONE";"ZD|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gzona.asp?zona=ZD";"919/M";"Napoli|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gsezione.asp?sezione=NA&sez=Napoli";"Crotone|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcapitaneria.asp?capitaneria=Crotone";7;38;70;"61 x 31 m";"17.181716";"39.114867";
"LUNA B";"244";"Di Produzione eroganti";"1992|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/ganno.asp?anno=1992";"struttura reticolare 8 gambe|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtipo.asp?tipo=struttura%20reticolare%208%20gambe";"GAS";"IONICA GAS|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/goperatore.asp?operatore=IONICA%20GAS";12;1;11;;"D.C 1.AG|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtitolo.asp?titolo=D.C%20%201.AG";"CROTONE|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcentrale.asp?centrale=CROTONE";"ZD|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gzona.asp?zona=ZD";"919/M";"Napoli|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gsezione.asp?sezione=NA&sez=Napoli";"Crotone|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcapitaneria.asp?capitaneria=Crotone";8;38;100;"43 x 30 m";"17.200183";"39.085558";
"MORENA 1";"245";"Di Produzione non Erogante";"1996|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/ganno.asp?anno=1996";"monotubolare|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtipo.asp?tipo=monotubolare";"GAS";"ENI|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/goperatore.asp?operatore=ENI";1;1;;;"A.C 28.EA|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtitolo.asp?titolo=A.C%2028.EA";"RUBICONE|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcentrale.asp?centrale=RUBICONE";"ZA|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gzona.asp?zona=ZA";"923/M";"Bologna|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gsezione.asp?sezione=BO&sez=Bologna";"Rimini|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcapitaneria.asp?capitaneria=Rimini";4;20;10;"8 x 8 m";"12.482887";"44.231073";
"NAIDE";"246";"Di Produzione eroganti";"2005|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/ganno.asp?anno=2005";"bitubolare|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtipo.asp?tipo=bitubolare";"GAS";"ENI|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/goperatore.asp?operatore=ENI";2;1;1;;"A.C 21.AG|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtitolo.asp?titolo=A.C%2021.AG";"RUBICONE|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcentrale.asp?centrale=RUBICONE";"ZA|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gzona.asp?zona=ZA";"924/M";"Bologna|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gsezione.asp?sezione=BO&sez=Bologna";"Ravenna|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcapitaneria.asp?capitaneria=Ravenna";32;20;36;"11 x 11 m";"12.745412";"44.343275";
"OMBRINA MARE 2";"291";"Non Operativa";"2008|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/ganno.asp?anno=2008";"monotubolare|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtipo.asp?tipo=monotubolare";"OLIO";"ROCKHOPPER ITALIA|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/goperatore.asp?operatore=ROCKHOPPER%20ITALIA";1;1;;;"B.R269.GC|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtitolo.asp?titolo=B.R269.GC";"";"ZB|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gzona.asp?zona=ZB";"922/M";"Roma|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gsezione.asp?sezione=RM&sez=Roma";"Ortona|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcapitaneria.asp?capitaneria=Ortona";6;;;"";"14.533455";"42.323409";
"PANDA 1";"295";"Non Operativa";"2002|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/ganno.asp?anno=2002";"testa pozzo sottomarina|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtipo.asp?tipo=testa%20pozzo%20sottomarina";"GAS";"ENI|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/goperatore.asp?operatore=ENI";1;1;;;"G.R 14.AG|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtitolo.asp?titolo=G.R%2014.AG";"";"ZG|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gzona.asp?zona=ZG";"917/M";"Napoli|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gsezione.asp?sezione=NA&sez=Napoli";"Porto Empedocle|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcapitaneria.asp?capitaneria=Porto%20Empedocle";22;;461;"";"13.623818";"37.00661";
"PANDA W 1";"296";"Non Operativa";"2003|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/ganno.asp?anno=2003";"testa pozzo sottomarina|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtipo.asp?tipo=testa%20pozzo%20sottomarina";"GAS";"ENI|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/goperatore.asp?operatore=ENI";1;1;;;"G.R 14.AG|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gtitolo.asp?titolo=G.R%2014.AG";"";"ZG|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gzona.asp?zona=ZG";"917/M";"Napoli|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gsezione.asp?sezione=NA&sez=Napoli";"Porto Empedocle|http://unmig.sviluppoeconomico.gov.it/unmig/strutturemarine/gcapitaneria.asp?capitaneria=Porto%20Empedocle";22;;517;"";"13.594536";"37.000607";
